"uid","name","fundCodes","workDay","return","optimal","optimalName"
"30705093","童兰","163402",233,38.09,"163402","兴全趋势投资混合(LOF)"
"30539595","陶敏","519007",1039,38.85,"519007","海富通强化回报混合"
"30350034","唐能","005481,008671,180018,501083",2098,250.1,"005481","银华瑞泰灵活配置混合"
"30682767","陶祺","003994,004285,004286,005781,006405,006406,006636,006637,008018,008019,009584,410002",516,3.53,"006636","华富恒欣纯债债券A"
"30717320","汤祺","009675,009676",103,3.83,"009675","中融融慧双欣一年定开债券A"
"30553338","陶然","003515,005253,006597,006598,008278,020007,020031,020032,511620",1134,1.52,"005253","国泰货币B"
"30158277","陶铄","002218,002219,003337,003338",2815,20.2,"002218","南方弘利A"
"30347543","唐瑭","000377,000378,000889,000890,001947,002845,004144,004145,370021,370022",2104,44.43,"004144","上投安丰回报A"
"30333216","佟巍","288001",2185,95.45,"288001","华夏经典混合"
"30706233","田维","002662,002663",226,46.1,"002662","前海开源沪港深大消费混合A"
"30672366","田文舟","005910,162717",628,125.91,"005910","广发龙头优选混合"
"30698733","覃璇","005809,006507,007638",289,24.36,"005809","前海开源裕源(FOF)"
"30062778","唐晓斌","002943,003745",2250,167.64,"002943","广发多因子混合"
"30426853","谭小兵","000339,008786,009623",1844,274.04,"000339","长城医疗保健混合"
"30700499","陶星言","008861,010093,010102,010103",219,34.42,"008861","西部利得港股通新机遇混合A"
"30362098","唐赟","164902,519683,519685,519723,519725,519726,519729,519730,519731,519733,519735,519766",2027,22.95,"519723","交银双轮动债券A/B"
"30081221","滕越","006393,006394,007951,008475,008476,008731,008732,217008,217023",1442,15.01,"217008","招商安本增利债券"
"30655717","田原","004767,005072,007035,007335,009924,010509",729,5.88,"007035","中银中债1-3年期国开债指数"
"30487451","田瑀","006624,007549,010728,010729,011437",673,97.75,"007549","中泰开阳价值优选混合A"
"30675695","田阳","004903,004904,006073,006074,006461,006686,006854,006855",591,3.69,"004904","人保货币B"
"30692943","唐煜","008255,010102,010103,673141,673143,675051,675053,675091,675093,675161,675163",344,3.54,"010103","西部利得鑫泓增强债券C"
"30699073","陶毅","002169,004238,007347,007348,007691,008302,008723,010560,010923",285,5.24,"008723","永赢鑫享混合"
